DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
7418	6132	Gardeners Road Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	7	302	9667 2193	gardeners-p.School@det.nsw.edu.au	9667 4906	Sydney (C)	Heffron	Sydney	420-422 Gardeners Road	Rosebery	2018	-33.920643	151.198034
8263	6422	J J Cahill Memorial High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	32	9	295	9669 5118	jjcahill-h.School@det.nsw.edu.au	9667 4902	Botany Bay (C)	Heffron	Kingsford Smith	Sutherland St	Rosebery 	2018	-33.927435	151.201835
1121	6390	Banksmeadow Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	16	7	246	9316 9608	banksmeado-p.School@det.nsw.edu.au	9316 4513	Botany Bay (C)	Maroubra	Kingsford Smith	Trevelyan & Wiggins Sts	Botany 	2019	-33.953739	151.20661
1323	6494	Botany Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	2	258	9316 8889	botany-p.School@det.nsw.edu.au	9316 4086	Botany Bay (C)	Maroubra	Kingsford Smith	1076 Botany Rd	Botany 	2019	-33.94316	151.194687
3905	6922	Pagewood Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	5	251	9316 9313	pagewood-p.School@det.nsw.edu.au	9316 4045	Botany Bay (C)	Maroubra	Kingsford Smith	Page St	Botany 	2019	-33.942104	151.214172
5423	24742	John Brotchie Nursery School	Other School	Comprehensive	Nursery school (similar to a Pre school)	Y	Coed	#N/A	#N/A	NULL	9316 8825	johnbrotch-p.School@det.nsw.edu.au	9316 4067	Botany Bay (C)	Maroubra	Kingsford Smith	1361 Botany Rd	Botany 	2019	-33.942627	151.196138
2499	4920	Mascot Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	22	7	355	9667 4301	mascot-p.School@det.nsw.edu.au	9667 4905	Botany Bay (C)	Heffron	Kingsford Smith	King St	Mascot 	2020	-33.928577	151.192485
2009	5334	Glenmore Road Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	4	348	9360 4880	glenmorerd-p.School@det.nsw.edu.au	9361 4284	Woollahra (A)	Sydney	Wentworth	Glenmore Rd	Paddington 	2021	-33.881385	151.230233
7432	5221	Paddington Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	3	286	9361 6730	paddington-p.School@det.nsw.edu.au	9360 9319	Sydney (C)	Sydney	Wentworth	Oxford St	Paddington 	2021	-33.887603	151.230188
8137	5328	Sydney Boys High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	69	16	1194.9	9662 9300	sydneyboys-h.School@det.nsw.edu.au	9662 9310	Sydney (C)	Heffron	Wentworth	556 Cleveland Street	Moore Park	2021	-33.892165	151.218904
1179	5338	Bellevue Hill Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	31	4	605	9389 3928	bellevuehi-p.School@det.nsw.edu.au	9369 4651	Woollahra (A)	Vaucluse	Wentworth	Victoria Rd	Bellevue Hill 	2023	-33.886986	151.259785
1372	6923	Bronte Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	5	397	9389 4527	bronte-p.School@det.nsw.edu.au	9369 3001	Waverley (A)	Coogee	Wentworth	Hewlett St	Bronte 	2024	-33.900605	151.262011
1573	5317	Clovelly Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	5	570	9665 6710	clovelly-p.School@det.nsw.edu.au	9664 2613	Waverley (A)	Coogee	Wentworth	Arden St	Waverley 	2024	-33.907431	151.26028
3953	5823	Waverley Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	225	9389 4843	waverley-p.School@det.nsw.edu.au	9369 4273	Waverley (A)	Coogee	Wentworth	Bronte Rd	Waverley 	2024	-33.898174	151.251539
7442	6134	Woollahra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	33	6	726	9328 6313	woollahra-p.School@det.nsw.edu.au	9363 3546	Woollahra (A)	Vaucluse	Wentworth	Forth St	Woollahra 	2025	-33.886379	151.24119
1292	4421	Bondi Beach Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	4	543	9130 2116	bondibeach-p.School@det.nsw.edu.au	9130 3932	Waverley (A)	Vaucluse	Wentworth	Campbell Pde	Bondi Beach 	2026	-33.8883	151.276821
5631	16291	Wairoa School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	14	14	63	9300 9579	wairoa-s.School@det.nsw.edu.au	9130 4867	Waverley (A)	Vaucluse	Wentworth	Brighton Blvd	Bondi Beach 	2026	-33.886632	151.278496
7407	6924	Bondi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	7	557	9130 6998	bondi-p.School@det.nsw.edu.au	9130 3203	Waverley (A)	Vaucluse	Wentworth	Wellington St	Bondi 	2026	-33.892625	151.264753
1768	6925	Double Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	4	368	9363 3456	doublebay-p.School@det.nsw.edu.au	9327 8901	Woollahra (A)	Vaucluse	Wentworth	William St	Double Bay 	2028	-33.874856	151.240894
2988	6926	Rose Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	5	592	9371 4884	rosebay-p.School@det.nsw.edu.au	9371 9466	Woollahra (A)	Vaucluse	Wentworth	Albemarle Ave	Rose Bay 	2029	-33.873011	151.270962
3325	5310	Vaucluse Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	5	343	9337 2672	vaucluse-p.School@det.nsw.edu.au	9337 2163	Woollahra (A)	Vaucluse	Wentworth	Cambridge Ave	Vaucluse 	2030	-33.850478	151.281166
8555	6928	Rose Bay Secondary College	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	63	15	998.4	9301 0300	rosebay-h.School@det.nsw.edu.au	9371 4688	Waverley (A)	Vaucluse	Wentworth	34A Hardy St	Dover Heights	2030	-33.878347	151.276121
2930	16263	Rainbow Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	24	9	427	9398 1986	rainbowst-p.School@det.nsw.edu.au	9399 8287	Randwick (C)	Coogee	Kingsford Smith	90-98 Rainbow Street	Randwick	2031	-33.924647	151.237164
4250	5315	Randwick Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	42	5	841	9398 6022	randwick-p.School@det.nsw.edu.au	9399 8907	Randwick (C)	Coogee	Kingsford Smith	Cowper St	Randwick 	2031	-33.910645	151.241714
5516	17695	Centennial Park School	Schools for Specific Purposes	Comprehensive	Emotional disturbance	N	Coed	5	5	34	9310 0588	Centennial-s.School@det.nsw.edu.au	9310 0480	Randwick (C)	Coogee	Kingsford Smith	78 Avoca Street	Randwick	2031	-33.910564	151.243184
5545	27660	Sydney Childrens Hospital School	Schools for Specific Purposes	Comprehensive	Hospital School	N	Coed	6	4	NULL	9399 7119	sydchnhos-s.School@det.nsw.edu.au	9399 8925	Randwick (C)	Coogee	Kingsford Smith	Level 0 High St	Randwick	2031	-33.919053	151.239067
8161	6463	Randwick Boys High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	49	9	677.6	9399 3122	randwickb-h.School@det.nsw.edu.au	9399 9546	Randwick (C)	Coogee	Kingsford Smith	Rainbow & Avoca Sts	Randwick 	2031	-33.924712	151.238771
8220	6464	Randwick Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	61	10	908.8	9398 3233	randwickg-h.School@det.nsw.edu.au	9399 5183	Randwick (C)	Coogee	Kingsford Smith	Barker St	Randwick 	2031	-33.921832	151.23944
8588	26878	Open High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	70	10	NULL	9381 4800	Openhigh-d.school@det.nsw.edu.au	9381 4950	Randwick (C)	Coogee	Kingsford Smith	78 Avoca St	Randwick 	2031	-33.910096	151.243478
7413	5322	Daceyville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	5	261	9349 1211	daceyville-p.School@det.nsw.edu.au	9349 3957	Botany Bay (C)	Maroubra	Kingsford Smith	Joffre Cres	Daceyville 	2032	-33.929548	151.227984
2283	5335	Kensington Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	24	6	437	9663 3955	kensington-p.School@det.nsw.edu.au	9662 1382	Randwick (C)	Heffron	Kingsford Smith	77-79 Doncaster Avenue	Kensington	2033	-33.909604	151.224965
1616	7053	Coogee Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	7	609	9315 7255	coogee-p.School@det.nsw.edu.au	9664 2161	Randwick (C)	Coogee	Kingsford Smith	Byron St & Coogee Bay Rd	Coogee 	2034	-33.920819	151.249846
3703	7052	South Coogee Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	8	495	9349 4000	sthcoogee-p.School@det.nsw.edu.au	9349 4292	Randwick (C)	Coogee	Kingsford Smith	Moverly Rd	South Coogee	2034	-33.933333	151.25409
2482	7561	Maroubra Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	4	305	9349 1569	maroubraba-p.School@det.nsw.edu.au	9349 5836	Randwick (C)	Maroubra	Kingsford Smith	Duncan St	Maroubra 	2035	-33.944236	151.253017
7427	7564	Maroubra Junction Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	34	5	657	9349 8333	maroubrajn-p.School@det.nsw.edu.au	9349 3712	Randwick (C)	Maroubra	Kingsford Smith	Storey St	Maroubra 	2035	-33.936072	151.236652
8545	7565	South Sydney High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	45	11	551.8	9349 3868	sthsydney-h.School@det.nsw.edu.au	9349 7384	Randwick (C)	Maroubra	Kingsford Smith	2-36 O'Sullivan Avenue	Maroubra	2035	-33.944154	151.234397
2373	7567	La Perouse Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	2	46	9311 2210	laperouse-p.School@det.nsw.edu.au	9311 3805	Randwick (C)	Maroubra	Kingsford Smith	Yarra Rd	La Perouse 	2036	-33.978352	151.235423
2454	7568	Malabar Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	292	9311 2012	malabar-p.School@det.nsw.edu.au	9661 5890	Randwick (C)	Maroubra	Kingsford Smith	231-239 Franklin Street	Malabar	2036	-33.962214	151.248559
2502	7569	Matraville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	247	9311 1783	matraville-p.School@det.nsw.edu.au	9661 4076	Botany Bay (C)	Maroubra	Kingsford Smith	310 Bunnerong Rd	Matraville 	2036	-33.955064	151.229111
4067	7570	Matraville Soldiers Settlement Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	10	7	213	9311 1175	matravilss-p.School@det.nsw.edu.au	9661 4232	Randwick (C)	Maroubra	Kingsford Smith	Menin Rd	Matraville 	2036	-33.958039	151.239995
4299	7566	Chifley Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	5	196	9661 3014	chifley-p.School@det.nsw.edu.au	9661 6934	Randwick (C)	Maroubra	Kingsford Smith	Mitchell St	Malabar	2036	-33.96583	151.242158
8249	6423	Matraville Sports High School	Secondary School	Sports	Year 7 to Year 12	N	Coed	37	13	237	9661 8000	matrasport-h.School@det.nsw.edu.au	9661 4254	Randwick (C)	Maroubra	Kingsford Smith	Anzac Pde	Chifley 	2036	-33.964747	151.244548
1932	6141	Forest Lodge Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	6	307	9660 3530	forestlodg-p.School@det.nsw.edu.au	9660 5045	Sydney (C)	Balmain	Sydney	Bridge Rd	Forest Lodge 	2037	-33.882169	151.181597
7419	7583	Glebe Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	6	212	9660 4549	glebe-p.School@det.nsw.edu.au	9552 1703	Sydney (C)	Balmain	Sydney	Derwent St	Glebe 	2037	-33.883685	151.19097
8539	6496	Sydney Secondary College Blackwattle Bay Campus	Secondary School	Senior College	Year 11 to Year 12	N	Coed	51	14	637.6	9660 5688	sscbwattle-h.school@det.nsw.edu.au	9552 1796	Sydney (C)	Balmain	Sydney	Taylor St	Glebe 	2037	-33.875142	151.188357
1041	5497	Annandale Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	24	9	377	9516 3711	annandale-p.School@det.nsw.edu.au	9550 4581	Leichhardt (A)	Balmain	Grayndler	25 Johnston St	Annandale 	2038	-33.885782	151.169599
1042	4930	Annandale North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	4	411	9660 3972	annandalen-p.School@det.nsw.edu.au	9692 8323	Leichhardt (A)	Balmain	Grayndler	206 Johnston St	Annandale 	2038	-33.877905	151.171835
7435	7584	Rozelle Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	28	5	578	9810 2347	rozelle-p.School@det.nsw.edu.au	9555 8715	Leichhardt (A)	Balmain	Grayndler	Darling St	Rozelle 	2039	-33.862581	151.169749
8484	6493	Sydney Secondary College Balmain Campus	Secondary School	Junior College	Year 7 to Year 10	N	Coed	48	16	744	9810 0471	balmain-h.School@det.nsw.edu.au	9555 7340	Leichhardt (A)	Balmain	Grayndler	Terry St	Rozelle 	2039	-33.858506	151.170052
2270	7585	Kegworth Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	17	6	308	9569 7320	kegworth-p.School@det.nsw.edu.au	9560 6949	Leichhardt (A)	Balmain	Grayndler	60 Tebbutt St	Leichhardt 	2040	-33.886514	151.14693
2812	7587	Orange Grove Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	18	6	345	9810 1378	orangegrov-p.School@det.nsw.edu.au	9555 8657	Leichhardt (A)	Balmain	Grayndler	Perry St	Leichhardt 	2040	-33.872278	151.158678
7423	7586	Leichhardt Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	38	7	674	9560 9440	leichhardt-p.school@det.nsw.edu.au	9550 9412	Leichhardt (A)	Balmain	Grayndler	Marion St	Leichhardt	2040	-33.88427	151.15814
8507	6497	Sydney Secondary College Leichhardt Campus	Secondary School	Junior College	Year 7 to Year 10	N	Coed	51	15	849	9560 2565	leichhardt-h.School@det.nsw.edu.au	9550 9397	Leichhardt (A)	Balmain	Grayndler	Balmain Rd	Leichhardt 	2040	-33.879463	151.159003
1240	5798	Birchgrove Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	18	6	364	9810 2469	birchgrove-p.School@det.nsw.edu.au	9555 8653	Leichhardt (A)	Balmain	Grayndler	Birchgrove Rd	Balmain 	2041	-33.853009	151.177045
2749	7589	Nicholson Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	5	156	9810 2863	nicholson-p.School@det.nsw.edu.au	9555 7378	Leichhardt (A)	Balmain	Grayndler	Nicholson St	Balmain East 	2041	-33.855744	151.193188
7404	7588	Balmain Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	304	9818 1177	balmain-p.School@det.nsw.edu.au	9555 7265	Leichhardt (A)	Balmain	Grayndler	1 Eaton Street	Balmain	2041	-33.859166	151.183417
1483	7591	Camdenville Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	12	7	225	9557 5505	camdenvill-p.School@det.nsw.edu.au	9550 4605	Marrickville (A)	Newtown	Grayndler	Laura St	Newtown 	2042	-33.906146	151.175741
2744	7592	Newtown North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	3	265	9517 1110	newtownn-p.School@det.nsw.edu.au	9550 4607	Sydney (C)	Newtown	Sydney	Carillon Ave	Newtown 	2042	-33.891821	151.185392
5104	7590	Australia Street Infants School	Infants School	Comprehensive	Kinder to Year 2	Y	Coed	9	7	129	9557 5377	australist-p.School@det.nsw.edu.au	9550 1461	Marrickville (A)	Newtown	Sydney	Australia St	Newtown 	2042	-33.895783	151.177607
7431	7593	Newtown Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	3	366	9557 4862	newtown-p.School@det.nsw.edu.au	9550 6078	Sydney (C)	Newtown	Sydney	Norfolk St	Newtown 	2042	-33.899991	151.179405
8530	6498	Newtown High School of Performing Arts	Secondary School	Performing Arts	Year 7 to Year 12	N	Coed	61	11	1049.6	9519 1544	newtown-h.School@det.nsw.edu.au	9519 1657	Sydney (C)	Newtown	Sydney	King St	Newtown 	2042	-33.899534	151.178338
4147	7594	Erskineville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	4	373	9557 5206	erskinevil-p.School@det.nsw.edu.au	9550 4593	Sydney (C)	Heffron	Sydney	Swanson St	Erskineville 	2043	-33.900881	151.186112
3032	7595	St Peters Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	2	75	9519 6307	stpeters-p.School@det.nsw.edu.au	9550 4586	Marrickville (A)	Heffron	Grayndler	Church St	St Peters 	2044	-33.912993	151.176696
3948	7597	Tempe Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	3	293	9558 3780	tempe-p.School@det.nsw.edu.au	9558 8940	Marrickville (A)	Heffron	Barton	Unwins Bridge Rd	Tempe 	2044	-33.920935	151.160994
8506	6424	Tempe High School	Secondary School	Language	Year 7 to Year 12	N	Coed	62	12	942	9558 2336	tempe-h.School@det.nsw.edu.au	9558 9460	Marrickville (A)	Heffron	Barton	Unwins Bridge Rd	Tempe 	2044	-33.91975	151.16094
2117	5499	Haberfield Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	34	4	627	9798 8767	haberfield-p.School@det.nsw.edu.au	9716 7315	Ashfield (A)	Summer Hill	Grayndler	Denman Ave	Haberfield 	2045	-33.879467	151.134002
3873	7598	Dobroyd Point Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	3	260	9797 8249	dobroydpt-p.School@det.nsw.edu.au	9716 8009	Ashfield (A)	Summer Hill	Grayndler	Waratah St	Haberfield 	2045	-33.874416	151.140692
1001	4402	Abbotsford Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	8	589	9713 6220	abbotsford-p.School@det.nsw.edu.au	9712 1825	Canada Bay (A)	Drummoyne	Reid	350 Great North Rd	Abbotsford 	2046	-33.852728	151.131206
1920	7599	Five Dock Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	23	10	409	9713 7044	fivedock-p.School@det.nsw.edu.au	9712 1256	Canada Bay (A)	Drummoyne	Reid	Henry St	Five Dock 	2046	-33.866859	151.127318
5132	7601	Russell Lea Infants School	Infants School	Comprehensive	Kinder to Year 2	N	Coed	9	3	120	9713 8267	russelllea-p.School@det.nsw.edu.au	9713 4673	Canada Bay (A)	Drummoyne	Reid	Lithgow St	Five Dock 	2046	-33.861418	151.142572
1774	7603	Drummoyne Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	32	6	695	9181 2636	drummoyne-p.School@det.nsw.edu.au	9719 8741	Canada Bay (A)	Drummoyne	Reid	Rawson Ave	Drummoyne 	2047	-33.856073	151.153035
7436	7604	Stanmore Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	5	617	9569 1638	stanmore-p.School@det.nsw.edu.au	9550 9542	Marrickville (A)	Newtown	Grayndler	Cnr Cambridge and Holt St	Stanmore 	2048	-33.895506	151.165283
4369	7606	Lewisham Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	2	150	9569 4536	lewisham-p.School@det.nsw.edu.au	9569 8391	Marrickville (A)	Summer Hill	Grayndler	The Boulevarde	Lewisham	2049	-33.897746	151.146076
4502	7608	Petersham Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	248	9560 9665	petersham-p.school@det.nsw.edu.au	9564 2104	Marrickville (A)	Summer Hill	Grayndler	25 Hunter St	Petersham 	2049	-33.895647	151.150175
5112	7607	Taverners Hill Infants School	Infants School	Comprehensive	Kinder to Year 2	N	Coed	4	2	81	9569 6396	tavernersh-p.School@det.nsw.edu.au	9564 2120	Marrickville (A)	Newtown	Grayndler	Elswick St	Petersham 	2049	-33.888955	151.157199
8504	7605	Fort Street High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	62	13	937.5	9569 4355	fortstreet-h.School@det.nsw.edu.au	9550 9219	Marrickville (A)	Newtown	Grayndler	Parramatta Rd	Petersham 	2049	-33.890196	151.1529
5540	16178	Bridge Road School	Schools for Specific Purposes	Comprehensive	Emotional disturbance	N	Coed	6	5	27	9519 8389	bridgerd-s.School@det.nsw.edu.au	9519 6418	Marrickville (A)	Newtown	Sydney	127 Parramatta Rd	Camperdown 	2050	-33.887445	151.175254
5543	27658	Royal Prince Alfred Hospital School	Schools for Specific Purposes	Comprehensive	Hospital School	N	Coed	1	2	NULL	95715417	rpahos-s.School@det.nsw.edu.au	95189656	Sydney (C)	Newtown	Sydney	Royal Prince Alfred Hospital	Camperdown	2050	-33.889314	151.180245
2766	5500	North Sydney Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	36	6	785	9955 2822	nthsyddem-p.School@det.nsw.edu.au	9956 6801	North Sydney (A)	North Shore	North Sydney	Bay Rd	Waverton 	2060	-33.834819	151.203685
1485	7611	Cammeray Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	39	7	924	9955 7200	cammeray-p.School@det.nsw.edu.au	9957 4693	North Sydney (A)	Willoughby	North Sydney	Palmer St	Cammeray 	2062	-33.820422	151.211542
4656	30331	Anzac Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	#N/A	#N/A	NULL	0476 841 626	anzacpark-p.school@det.nsw.edu.au	NULL	North Sydney (A)	Willoughby	North Sydney	2 Anzac Avenue	Cammeray	2062	-33.826566	151.210731
2761	4410	Northbridge Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	4	555	9958 5348	northbridg-p.School@det.nsw.edu.au	9967 2169	Willoughby (C)	Willoughby	North Sydney	Sailors Bay Rd	Northbridge 	2063	-33.813034	151.218597
1061	7612	Artarmon Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	48	6	1085	9411 1950	artarmon-p.School@det.nsw.edu.au	9415 1243	Willoughby (C)	Lane Cove	North Sydney	McMillan Rd	Artarmon 	2064	-33.811249	151.186001
2076	4418	Greenwich Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	4	496	9436 3217	greenwich-p.School@det.nsw.edu.au	9906 6437	Lane Cove (A)	Lane Cove	North Sydney	32 Kingslangley Rd	Greenwich	2065	-33.82587	151.183252
